Sygnatura czasowa,Dyrygent ogłasza 10 minut przerwy. Twój standardowy ruch to:,"Dyrygent przerywa i mówi: 'Ten fragment brzmi fatalnie w waszym głosie'. Co myślisz?
","Poziom tremy przed wejściem na scenę:
",Jaki jest Twój kolor włosów? ,"Jak często zdarza Ci się rozmawiać z sąsiadem, gdy dyrygent ćwiczy z innym głosem?""   (Skala 1-10) 
","Strategia w przypadku pomyłki na koncercie:
",Który opis punktualność Cię najbardziej opisuje:,Jak oceniasz proporcje swojej szyi? (Skala 1-10),Wzrost (w cm):,Co kosztuje Cię więcej fizycznego wysiłku podczas śpiewania?,"Kiedy cały chór śpiewa bardzo głośno (tutti), jak zazwyczaj odczuwasz swój własny głos na tle grupy?",Jakim głosem jesteś:
2026-06-04 17:44:34,Wychodzę na zewnątrz / idę coś zjeść lub się napić.,"Analizuję technicznie, co dokładnie robimy źle.","Motywujący (lekki dreszczyk emocji, który pomaga).",Blond / Jasne,4,Śpiewam ciszej i próbuję płynnie wrócić.,Zawsze 5 minut przed czasem,3,189,"Zejście bardzo nisko (głos traci moc, matowieje).","Zawsze wyraźnie słyszę swój głos, ""przebija się"" przez inne.",Tenor 2
2026-06-04 17:44:49,Wychodzę na zewnątrz / idę coś zjeść lub się napić.,"Muszę się bardziej skupić, to pewnie też moja wina.","Motywujący (lekki dreszczyk emocji, który pomaga).",Rude,6,Przestaję śpiewać i łapię się w następnym znanym mi momencie.,Zawsze 15 minut przed czasem,6,167,"Zejście bardzo nisko (głos traci moc, matowieje).",Mój głos łatwo wtapia się w brzmienie reszty chóru (tzw. blendowanie).,Sopran 2
2026-06-04 17:45:02,Wychodzę na zewnątrz / idę coś zjeść lub się napić.,"Muszę się bardziej skupić, to pewnie też moja wina.","Zerowy (pełen luz, traktuję to rutynowo).",Rude,4,Śpiewam ciszej i próbuję płynnie wrócić.,Równo z dzwonkiem,5,164,Obie skrajności są tak samo męczące.,Mój głos łatwo wtapia się w brzmienie reszty chóru (tzw. blendowanie).,Sopran 1
2026-06-04 17:47:54,Wychodzę na zewnątrz / idę coś zjeść lub się napić.,"Analizuję technicznie, co dokładnie robimy źle.","Motywujący (lekki dreszczyk emocji, który pomaga).",Brązowe / Szatyn,3,Śpiewam ciszej i próbuję płynnie wrócić.,kilka minutek nikogo nigdy nie zbawił,5,172,"Zejście bardzo nisko (głos traci moc, matowieje).","Zawsze wyraźnie słyszę swój głos, ""przebija się"" przez inne.",Alt 2
2026-06-04 17:48:52,Wychodzę na zewnątrz / idę coś zjeść lub się napić.,"Ja śpiewam dobrze, to reszta psuje.","Zerowy (pełen luz, traktuję to rutynowo).",Brązowe / Szatyn,7,Przestaję śpiewać i łapię się w następnym znanym mi momencie.,Studencki kwadrans spóźnienia,5,178,Obie skrajności są tak samo męczące.,"Zawsze wyraźnie słyszę swój głos, ""przebija się"" przez inne.",Baryton (bas 1)
2026-06-04 17:51:11,Idę pogadać z ludźmi z innych sekcji.,"Ja śpiewam dobrze, to reszta psuje.","Motywujący (lekki dreszczyk emocji, który pomaga).",inne,8,Śpiewam ciszej i próbuję płynnie wrócić.,Równo z dzwonkiem,8,157,"Zejście bardzo nisko (głos traci moc, matowieje).",Mój głos łatwo wtapia się w brzmienie reszty chóru (tzw. blendowanie).,Sopran 1
2026-06-04 17:51:27,Zostaję w swojej sekcji i dyskutujemy/śmieszkujemy.,"Muszę się bardziej skupić, to pewnie też moja wina.","Motywujący (lekki dreszczyk emocji, który pomaga).",Brązowe / Szatyn,8,Śpiewam ciszej i próbuję płynnie wrócić.,Równo z dzwonkiem,5,180,"Wejście bardzo wysoko (głos się zaciska, wymaga dużej siły).",Mój głos łatwo wtapia się w brzmienie reszty chóru (tzw. blendowanie).,Bas (bas 2)
2026-06-04 17:51:48,"Zostaję na miejscu, wyciągam telefon / odpoczywam w ciszy.","Muszę się bardziej skupić, to pewnie też moja wina.","Motywujący (lekki dreszczyk emocji, który pomaga).",Blond / Jasne,3,Śpiewam ciszej i próbuję płynnie wrócić.,Równo z dzwonkiem,7,174,Obie skrajności są tak samo męczące.,Mój głos łatwo wtapia się w brzmienie reszty chóru (tzw. blendowanie).,Baryton (bas 1)
2026-06-04 17:51:52,Zostaję w swojej sekcji i dyskutujemy/śmieszkujemy.,"Muszę się bardziej skupić, to pewnie też moja wina.","Motywujący (lekki dreszczyk emocji, który pomaga).",Brązowe / Szatyn,9,Śpiewam ciszej i próbuję płynnie wrócić.,Zawsze 5 minut przed czasem,4,176,"Wejście bardzo wysoko (głos się zaciska, wymaga dużej siły).","Zawsze wyraźnie słyszę swój głos, ""przebija się"" przez inne.",Bas (bas 2)
2026-06-04 17:52:09,"Zostaję na miejscu, wyciągam telefon / odpoczywam w ciszy.","Ja śpiewam dobrze, to reszta psuje.","Motywujący (lekki dreszczyk emocji, który pomaga).",Blond / Jasne,9,Śpiewam ciszej i próbuję płynnie wrócić.,kilka minutek nikogo nigdy nie zbawił,8,172,"Zejście bardzo nisko (głos traci moc, matowieje).","Zawsze wyraźnie słyszę swój głos, ""przebija się"" przez inne.",Sopran 1
2026-06-04 17:52:34,Idę pogadać z ludźmi z innych sekcji.,"Muszę się bardziej skupić, to pewnie też moja wina.","Motywujący (lekki dreszczyk emocji, który pomaga).",inne,6,Śpiewam ciszej i próbuję płynnie wrócić.,kilka minutek nikogo nigdy nie zbawił,6,171,Obie skrajności są tak samo męczące.,Mój głos łatwo wtapia się w brzmienie reszty chóru (tzw. blendowanie).,Sopran 2
2026-06-04 17:53:10,Wychodzę na zewnątrz / idę coś zjeść lub się napić.,"Muszę się bardziej skupić, to pewnie też moja wina.","Motywujący (lekki dreszczyk emocji, który pomaga).",Brązowe / Szatyn,8,Śpiewam ciszej i próbuję płynnie wrócić.,Równo z dzwonkiem,6,188,"Wejście bardzo wysoko (głos się zaciska, wymaga dużej siły).","Często w ogóle siebie nie słyszę, zagłuszają mnie inni.",Baryton (bas 1)
2026-06-04 17:54:38,Idę pogadać z ludźmi z innych sekcji.,"Muszę się bardziej skupić, to pewnie też moja wina.","Motywujący (lekki dreszczyk emocji, który pomaga).",Blond / Jasne,8,Śpiewam ciszej i próbuję płynnie wrócić.,Równo z dzwonkiem,7,169,"Wejście bardzo wysoko (głos się zaciska, wymaga dużej siły).",Mój głos łatwo wtapia się w brzmienie reszty chóru (tzw. blendowanie).,Alt 2
2026-06-04 17:59:11,"Zostaję na miejscu, wyciągam telefon / odpoczywam w ciszy.","Muszę się bardziej skupić, to pewnie też moja wina.","Motywujący (lekki dreszczyk emocji, który pomaga).",Blond / Jasne,8,Śpiewam ciszej i próbuję płynnie wrócić.,Zawsze 5 minut przed czasem,5,171,"Zejście bardzo nisko (głos traci moc, matowieje).",Mój głos łatwo wtapia się w brzmienie reszty chóru (tzw. blendowanie).,Sopran 1
2026-06-04 17:59:37,Wychodzę na zewnątrz / idę coś zjeść lub się napić.,"Muszę się bardziej skupić, to pewnie też moja wina.","Motywujący (lekki dreszczyk emocji, który pomaga).",Rude,3,Śpiewam ciszej i próbuję płynnie wrócić.,kilka minutek nikogo nigdy nie zbawił,8,165,Obie skrajności są tak samo męczące.,Mój głos łatwo wtapia się w brzmienie reszty chóru (tzw. blendowanie).,Sopran 2
2026-06-04 18:01:08,Idę pogadać z ludźmi z innych sekcji.,"Muszę się bardziej skupić, to pewnie też moja wina.","Zerowy (pełen luz, traktuję to rutynowo).",Brązowe / Szatyn,6,Śpiewam ciszej i próbuję płynnie wrócić.,Zawsze 5 minut przed czasem,8,176,"Wejście bardzo wysoko (głos się zaciska, wymaga dużej siły).","Zawsze wyraźnie słyszę swój głos, ""przebija się"" przez inne.",Tenor 2
2026-06-04 18:01:50,Idę pogadać z ludźmi z innych sekcji.,"Muszę się bardziej skupić, to pewnie też moja wina.","Motywujący (lekki dreszczyk emocji, który pomaga).",Blond / Jasne,5,Przestaję śpiewać i łapię się w następnym znanym mi momencie.,Zawsze 15 minut przed czasem,5,172,"Wejście bardzo wysoko (głos się zaciska, wymaga dużej siły).","Często w ogóle siebie nie słyszę, zagłuszają mnie inni.",Alt 1
2026-06-04 18:01:52,Wychodzę na zewnątrz / idę coś zjeść lub się napić.,"Analizuję technicznie, co dokładnie robimy źle.","Zerowy (pełen luz, traktuję to rutynowo).",Brązowe / Szatyn,2,Śpiewam ciszej i próbuję płynnie wrócić.,Zawsze 5 minut przed czasem,7,165,"Zejście bardzo nisko (głos traci moc, matowieje).","Zawsze wyraźnie słyszę swój głos, ""przebija się"" przez inne.",Sopran 1
2026-06-04 18:05:11,"Zostaję na miejscu, wyciągam telefon / odpoczywam w ciszy.","Muszę się bardziej skupić, to pewnie też moja wina.","Motywujący (lekki dreszczyk emocji, który pomaga).",inne,2,Śpiewam ciszej i próbuję płynnie wrócić.,kilka minutek nikogo nigdy nie zbawił,8,163,"Wejście bardzo wysoko (głos się zaciska, wymaga dużej siły).",Mój głos łatwo wtapia się w brzmienie reszty chóru (tzw. blendowanie).,Sopran 1
2026-06-04 18:08:49,Wychodzę na zewnątrz / idę coś zjeść lub się napić.,"Ja śpiewam dobrze, to reszta psuje.","Motywujący (lekki dreszczyk emocji, który pomaga).",Blond / Jasne,6,Śpiewam ciszej i próbuję płynnie wrócić.,Zawsze 15 minut przed czasem,4,183,"Wejście bardzo wysoko (głos się zaciska, wymaga dużej siły).","Zawsze wyraźnie słyszę swój głos, ""przebija się"" przez inne.",Bas (bas 2)
2026-06-04 18:14:30,Idę pogadać z ludźmi z innych sekcji.,"Muszę się bardziej skupić, to pewnie też moja wina.","Motywujący (lekki dreszczyk emocji, który pomaga).",Blond / Jasne,5,"Uśmiecham się szeroko i udaję, że tak miało być.",Zawsze 5 minut przed czasem,5,175,"Wejście bardzo wysoko (głos się zaciska, wymaga dużej siły).","Zawsze wyraźnie słyszę swój głos, ""przebija się"" przez inne.",Alt 1
2026-06-04 18:14:36,Wychodzę na zewnątrz / idę coś zjeść lub się napić.,"Ja śpiewam dobrze, to reszta psuje.","Motywujący (lekki dreszczyk emocji, który pomaga).",Blond / Jasne,9,Przestaję śpiewać i łapię się w następnym znanym mi momencie.,kilka minutek nikogo nigdy nie zbawił,5,178,"Zejście bardzo nisko (głos traci moc, matowieje).","Zawsze wyraźnie słyszę swój głos, ""przebija się"" przez inne.",Sopran 2
2026-06-04 18:18:09,Wychodzę na zewnątrz / idę coś zjeść lub się napić.,"Analizuję technicznie, co dokładnie robimy źle.","Motywujący (lekki dreszczyk emocji, który pomaga).",Rude,6,Śpiewam ciszej i próbuję płynnie wrócić.,Zawsze 5 minut przed czasem,8,170,"Wejście bardzo wysoko (głos się zaciska, wymaga dużej siły).","Zawsze wyraźnie słyszę swój głos, ""przebija się"" przez inne.",Sopran 1
2026-06-04 18:19:25,Idę pogadać z ludźmi z innych sekcji.,"Muszę się bardziej skupić, to pewnie też moja wina.","Motywujący (lekki dreszczyk emocji, który pomaga).",Brązowe / Szatyn,8,Przestaję śpiewać i łapię się w następnym znanym mi momencie.,Zawsze 5 minut przed czasem,4,160,"Zejście bardzo nisko (głos traci moc, matowieje).",Mój głos łatwo wtapia się w brzmienie reszty chóru (tzw. blendowanie).,Tenor 1
2026-06-04 18:23:27,Wychodzę na zewnątrz / idę coś zjeść lub się napić.,"Ja śpiewam dobrze, to reszta psuje.","Motywujący (lekki dreszczyk emocji, który pomaga).",Blond / Jasne,6,Śpiewam ciszej i próbuję płynnie wrócić.,kilka minutek nikogo nigdy nie zbawił,4,175,"Wejście bardzo wysoko (głos się zaciska, wymaga dużej siły).",Mój głos łatwo wtapia się w brzmienie reszty chóru (tzw. blendowanie).,Bas (bas 2)
2026-06-04 18:35:41,Wychodzę na zewnątrz / idę coś zjeść lub się napić.,"Muszę się bardziej skupić, to pewnie też moja wina.",Paraliżujący (zawsze bardzo się denerwuję).,Blond / Jasne,4,Śpiewam ciszej i próbuję płynnie wrócić.,Zawsze 5 minut przed czasem,8,,Obie skrajności są tak samo męczące.,"Często w ogóle siebie nie słyszę, zagłuszają mnie inni.",Sopran 2
2026-06-04 18:42:42,Idę pogadać z ludźmi z innych sekcji.,"Ja śpiewam dobrze, to reszta psuje.","Motywujący (lekki dreszczyk emocji, który pomaga).",Blond / Jasne,10,Śpiewam ciszej i próbuję płynnie wrócić.,Zawsze 5 minut przed czasem,7,185,"Zejście bardzo nisko (głos traci moc, matowieje).","Zawsze wyraźnie słyszę swój głos, ""przebija się"" przez inne.",Tenor 2
2026-06-04 18:50:29,Zostaję w swojej sekcji i dyskutujemy/śmieszkujemy.,"Analizuję technicznie, co dokładnie robimy źle.","Motywujący (lekki dreszczyk emocji, który pomaga).",Blond / Jasne,9,Śpiewam ciszej i próbuję płynnie wrócić.,kilka minutek nikogo nigdy nie zbawił,5,168,"Wejście bardzo wysoko (głos się zaciska, wymaga dużej siły).",Mój głos łatwo wtapia się w brzmienie reszty chóru (tzw. blendowanie).,Sopran 1
2026-06-04 19:00:43,Wychodzę na zewnątrz / idę coś zjeść lub się napić.,"Analizuję technicznie, co dokładnie robimy źle.","Motywujący (lekki dreszczyk emocji, który pomaga).",inne,7,Śpiewam ciszej i próbuję płynnie wrócić.,kilka minutek nikogo nigdy nie zbawił,4,190,"Zejście bardzo nisko (głos traci moc, matowieje).","Zawsze wyraźnie słyszę swój głos, ""przebija się"" przez inne.",Tenor 1
2026-06-04 19:17:19,Idę pogadać z ludźmi z innych sekcji.,"Muszę się bardziej skupić, to pewnie też moja wina.","Motywujący (lekki dreszczyk emocji, który pomaga).",Brązowe / Szatyn,5,Śpiewam ciszej i próbuję płynnie wrócić.,Zawsze 15 minut przed czasem,8,175,"Zejście bardzo nisko (głos traci moc, matowieje).",Mój głos łatwo wtapia się w brzmienie reszty chóru (tzw. blendowanie).,Sopran 2
2026-06-04 19:27:06,Wychodzę na zewnątrz / idę coś zjeść lub się napić.,"Muszę się bardziej skupić, to pewnie też moja wina.","Zerowy (pełen luz, traktuję to rutynowo).",Blond / Jasne,8,"Uśmiecham się szeroko i udaję, że tak miało być.",Równo z dzwonkiem,6,164,"Wejście bardzo wysoko (głos się zaciska, wymaga dużej siły).",Mój głos łatwo wtapia się w brzmienie reszty chóru (tzw. blendowanie).,Sopran 2
2026-06-04 19:28:33,Zostaję w swojej sekcji i dyskutujemy/śmieszkujemy.,"Analizuję technicznie, co dokładnie robimy źle.","Motywujący (lekki dreszczyk emocji, który pomaga).",Brązowe / Szatyn,3,Śpiewam ciszej i próbuję płynnie wrócić.,Równo z dzwonkiem,8,185,"Wejście bardzo wysoko (głos się zaciska, wymaga dużej siły).",Mój głos łatwo wtapia się w brzmienie reszty chóru (tzw. blendowanie).,Baryton (bas 1)
2026-06-04 19:41:56,Wychodzę na zewnątrz / idę coś zjeść lub się napić.,"Analizuję technicznie, co dokładnie robimy źle.","Motywujący (lekki dreszczyk emocji, który pomaga).",Blond / Jasne,2,Przestaję śpiewać i łapię się w następnym znanym mi momencie.,Równo z dzwonkiem,6,176,"Wejście bardzo wysoko (głos się zaciska, wymaga dużej siły).","Często w ogóle siebie nie słyszę, zagłuszają mnie inni.",Tenor 1
2026-06-04 19:49:17,Wychodzę na zewnątrz / idę coś zjeść lub się napić.,"Analizuję technicznie, co dokładnie robimy źle.","Zerowy (pełen luz, traktuję to rutynowo).",Brązowe / Szatyn,7,"Uśmiecham się szeroko i udaję, że tak miało być.",Zawsze 5 minut przed czasem,5,160,"Wejście bardzo wysoko (głos się zaciska, wymaga dużej siły).","Zawsze wyraźnie słyszę swój głos, ""przebija się"" przez inne.",Alt 2
2026-06-04 19:54:58,"Zostaję na miejscu, wyciągam telefon / odpoczywam w ciszy.","Nic nie myślę, po prostu czekam, aż zaczniemy znowu.","Motywujący (lekki dreszczyk emocji, który pomaga).",Blond / Jasne,3,Śpiewam ciszej i próbuję płynnie wrócić.,Równo z dzwonkiem,5,170,"Wejście bardzo wysoko (głos się zaciska, wymaga dużej siły).",Mój głos łatwo wtapia się w brzmienie reszty chóru (tzw. blendowanie).,Tenor 2
2026-06-04 19:56:50,"Zostaję na miejscu, wyciągam telefon / odpoczywam w ciszy.","Analizuję technicznie, co dokładnie robimy źle.","Motywujący (lekki dreszczyk emocji, który pomaga).",Brązowe / Szatyn,4,Śpiewam ciszej i próbuję płynnie wrócić.,Równo z dzwonkiem,5,163,"Wejście bardzo wysoko (głos się zaciska, wymaga dużej siły).",Mój głos łatwo wtapia się w brzmienie reszty chóru (tzw. blendowanie).,Sopran 2
2026-06-04 19:57:08,Wychodzę na zewnątrz / idę coś zjeść lub się napić.,"Muszę się bardziej skupić, to pewnie też moja wina.",Paraliżujący (zawsze bardzo się denerwuję).,Blond / Jasne,3,Przestaję śpiewać i łapię się w następnym znanym mi momencie.,Zawsze 15 minut przed czasem,4,165,"Zejście bardzo nisko (głos traci moc, matowieje).","Zawsze wyraźnie słyszę swój głos, ""przebija się"" przez inne.",Sopran 1
2026-06-04 19:57:17,"Zostaję na miejscu, wyciągam telefon / odpoczywam w ciszy.","Analizuję technicznie, co dokładnie robimy źle.","Zerowy (pełen luz, traktuję to rutynowo).",Brązowe / Szatyn,6,Śpiewam ciszej i próbuję płynnie wrócić.,Zawsze 5 minut przed czasem,8,168,"Zejście bardzo nisko (głos traci moc, matowieje).",Mój głos łatwo wtapia się w brzmienie reszty chóru (tzw. blendowanie).,Sopran 2
2026-06-04 19:58:13,Wychodzę na zewnątrz / idę coś zjeść lub się napić.,"Muszę się bardziej skupić, to pewnie też moja wina.","Motywujący (lekki dreszczyk emocji, który pomaga).",Brązowe / Szatyn,8,Śpiewam ciszej i próbuję płynnie wrócić.,kilka minutek nikogo nigdy nie zbawił,4,181,"Wejście bardzo wysoko (głos się zaciska, wymaga dużej siły).",Mój głos łatwo wtapia się w brzmienie reszty chóru (tzw. blendowanie).,Bas (bas 2)
2026-06-04 20:00:05,Idę pogadać z ludźmi z innych sekcji.,"Muszę się bardziej skupić, to pewnie też moja wina.","Motywujący (lekki dreszczyk emocji, który pomaga).",Brązowe / Szatyn,6,Śpiewam ciszej i próbuję płynnie wrócić.,Równo z dzwonkiem,5,165,"Wejście bardzo wysoko (głos się zaciska, wymaga dużej siły).",Mój głos łatwo wtapia się w brzmienie reszty chóru (tzw. blendowanie).,Sopran 2
2026-06-04 20:07:27,Zostaję w swojej sekcji i dyskutujemy/śmieszkujemy.,"Nic nie myślę, po prostu czekam, aż zaczniemy znowu.","Zerowy (pełen luz, traktuję to rutynowo).",Brązowe / Szatyn,6,Śpiewam ciszej i próbuję płynnie wrócić.,Równo z dzwonkiem,7,165,Obie skrajności są tak samo męczące.,"Zawsze wyraźnie słyszę swój głos, ""przebija się"" przez inne.",Alt 1
2026-06-04 20:17:40,Idę pogadać z ludźmi z innych sekcji.,"Analizuję technicznie, co dokładnie robimy źle.",Paraliżujący (zawsze bardzo się denerwuję).,Blond / Jasne,3,"Uśmiecham się szeroko i udaję, że tak miało być.",kilka minutek nikogo nigdy nie zbawił,7,161,Obie skrajności są tak samo męczące.,,Alt 1
2026-06-04 20:25:49,"Zostaję na miejscu, wyciągam telefon / odpoczywam w ciszy.","Analizuję technicznie, co dokładnie robimy źle.","Motywujący (lekki dreszczyk emocji, który pomaga).",Brązowe / Szatyn,1,Śpiewam ciszej i próbuję płynnie wrócić.,Równo z dzwonkiem,7,187,"Wejście bardzo wysoko (głos się zaciska, wymaga dużej siły).","Zawsze wyraźnie słyszę swój głos, ""przebija się"" przez inne.",Bas (bas 2)
